numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
384,4.0,Hospital & Health Care,teaching,6.75,Doctor,hospital for special surgery,banaras hindu university,2
217,2.0,Computer Software,research scientist,5.17,Doctor,meta,iowa state university,2
274,1.0,Higher Education,research,7.49,Doctor,columbia university,california polytechnic state university san luis obispo,2
279,5.0,Hospitals and Health Care,statistician,16.42,Doctor,icap at columbia university,columbia university mailman school of public health,2
265,4.0,Gambling Facilities and Casinos,systems,37.51,empty,law offices of hayt hayt landau,towson university,2
240,1.0,Entertainment,press,7.83,Bachelor,paramount,new york university,2
185,3.0,Research,medical technologist,3.33,Bachelor,r i analytical laboratories inc,university of rhode island,2
396,3.0,Hospital & Health Care,physician,17.25,Doctor,albert einstein college of medicine,nyu grossman school of medicine,2
346,1.0,Education Management,data analyst,6.67,High School,sony pictures entertainment,williams college,2
276,5.0,Hospital & Health Care,physician,14.91,Doctor,harlem hospital center at columbia university,new york university,2
242,5.0,Entertainment Providers,marketing officer,9.92,Bachelor,cakeworks,providence college,2
187,4.0,Hospital & Health Care,clinical,12.42,Master,loyal source government services,lehman college,2
337,6.0,Architecture & Planning,architect,8.0,Master,gluck formerly peter gluck and partners architects and locus construction,yale university,2
317,5.0,Research,professor,45.0,Doctor,memorial sloan kettering cancer center,the johns hopkins university school of medicine,2
170,6.0,Law Practice,law,28.0,Doctor,the law office of deborah a ezbitski,elisabeth haub school of law at pace university,2
254,2.0,Design Services,brand ambassador,13.42,Bachelor,apple,pratt institute,2
283,1.0,Retail Apparel and Fashion,stylist,5.5,Associate,delta air lines,fashion institute of technology,2
333,6.0,Information Technology & Services,business architect,5.75,Bachelor,ibm,penn state university,2
342,3.0,Financial Services,loan,2.41,Master,tvt capital llc,sacred heart university,2
213,2.0,Medical Practice,resident,7.43,Doctor,the dimock center,state university of new york college of optometry,2
205,3.0,Insurance,actuary,17.75,Bachelor,nippon life benefits,cornell university,2
300,4.0,International Affairs,consulting,51.16,Doctor,investigazioni criminali italia,the hebrew university of jerusalem,2
207,2.0,Cosmetics,analytical chemist,4.26,Master,good face project,columbia university in the city of new york,2
205,2.0,Hospital & Health Care,writer,9.42,Doctor,memorial sloan kettering cancer center,yonsei university 연세대학교,2
165,3.0,Law Practice,attorney,2.25,Doctor,city of new york administration for children s services,cardozo school of law,2
410,3.0,Architecture & Planning,architect,5.58,Master,method design architecture urbanism pllc,pratt institute,2
330,2.0,Computer Software,product designer,1.5,Master,butlr,school of visual arts,2
289,2.0,Higher Education,research scientist,13.16,Doctor,uc berkeley,the graduate center city university of new york,2
360,2.0,Computer Software,software programmer,5.08,Master,octane,hack reactor,2
289,5.0,Medical Practices,physician,34.41,Doctor,northwell health,state university of new york downstate health sciences university,2
270,2.0,Non-profit Organizations,merchandising,1.67,High School,icon for hire,calvary chapel bible college,2
262,1.0,Photography,creative,0.99,Bachelor,chris craymer mahattan beach studios,fashion institute of technology,2
223,2.0,Artists and Writers,ambassador,33.33,Bachelor,sculpturecenter,stony brook university,2
165,2.0,Higher Education,professor,22.66,Doctor,farmingdale state college,university of connecticut,2
168,3.0,Primary/Secondary Education,substitute teacher,10.58,Master,new visions charter high school for advanced math and science ii,hunter college,2
351,4.0,Hospitals and Health Care,teaching,6.75,Master,oracle,yale school of public health,2
378,1.0,Computer Software,computer scientist,4.74,Master,stony brook university college of engineering and applied sciences,stony brook university college of engineering and applied sciences,2
299,3.0,Entertainment,actor,3.34,Bachelor,mccarter theatre center,emerson college,2
352,5.0,Design Services,social media marketing,11.4,Master,thoughtmatter,claremont graduate university peter f drucker and masatoshi ito graduate school of management,2
266,3.0,Manufacturing,creative,19.0,empty,proctor gamble,long island business institute,2
284,5.0,Accounting,tax accountant,14.92,MBA,eisneramper llp,baruch college,2
355,3.0,Automotive,embedded software engineer,11.92,Master,bmw of north america llc,rochester institute of technology,2
178,2.0,Non-profit Organization Management,coordinator,5.5,Master,wateraid america,university of glasgow,2
322,5.0,Pharmaceuticals,research scientist,14.34,Doctor,merck,university of north carolina at chapel hill,2
268,1.0,Legal Services,teaching,3.92,Doctor,kirkland ellis,duke university school of law,2
211,4.0,Government Administration,law,8.67,Doctor,new york city law department,seton hall university school of law,2
267,1.0,"Health, Wellness & Fitness",customer service representative,20.75,empty,the nature s bounty co,sanford brown institute new york,2
313,1.0,Financial Services,administrative,10.0,empty,highbridge capital management,nassau community college,2
164,1.0,Higher Education,graphic design,17.16,Master,school of visual arts,school of visual arts,2
282,5.0,Retail Luxury Goods and Jewelry,credit collections,22.08,Bachelor,lvmh watches jewelry,university of phoenix,2
172,3.0,Information Technology & Services,product,5.83,MBA,jpmorgan chase co,fairleigh dickinson university,2
289,5.0,Civil Engineering,communications,12.0,Master,gilsanz murray steficek,pratt institute,2
164,1.0,Retail,retail sales,9.67,empty,christian dior couture,los angeles trade technical college,2
346,6.0,Financial Services,business developer,24.58,MBA,the greensledge group llc,nyu stern school of business,2
242,4.0,Market Research,marketing consultant,11.75,Master,ipsos,new york university,2
173,1.0,Higher Education,crew,5.09,Master,dickinson college,drexel university s college of nursing and health professions,2
314,2.0,Renewable Energy Semiconductor Manufacturing,nurse,20.49,Master,nyu langone health,western governors university,2
281,4.0,Research,investment analyst,2.67,Master,unicef,shanghai university of finance and economics,2
412,5.0,Research,research analyst,12.92,Master,ninedot energy,johns hopkins university,2
196,1.0,Photography,photographer,16.52,High School,amy o,agtu,2
336,4.0,Pharmaceuticals,research scientist,13.99,Doctor,merck,university of michigan,2
177,2.0,Architecture & Planning,architecture,5.5,Master,dottinger design inc,stevens institute of technology,2
313,2.0,Higher Education,professor,31.32,Doctor,john jay college cuny,drexel university,2
263,2.0,Book and Periodical Publishing,instructional designer,37.0,Master,mcgraw hill education,new york university,2
182,1.0,Apparel & Fashion,model,20.22,High School,nardos design,the university of georgia,2
203,3.0,Computer Software,software programmer,8.67,Bachelor,sony music entertainment,new york university,2
196,1.0,Media Production,video editor,6.16,Bachelor,anomaly entertainment,nyu tandon school of engineering,2
309,5.0,Financial Services,credit risk,16.08,Bachelor,citi,baruch college,2
312,3.0,Financial Services,nanny,15.17,empty,farragut square group,manhattan college,2
281,3.0,Truck Transportation,logistics,13.92,empty,lufthansa technik component services,university of applied sciences kaiserslautern,2
277,1.0,Architecture & Planning,education,3.66,Master,atlantic council,columbia university in the city of new york,2
242,6.0,Hospital & Health Care,benefits,44.42,Bachelor,agma health fund retirement plan,liu post,2
288,2.0,Entertainment,producer,11.5,Bachelor,lamorner bros,northern arizona university,2
285,1.0,Advertising Services,underwriting,9.51,Bachelor,arbor realty trust,binghamton university,2
353,2.0,Higher Education,professor,3.24,Doctor,john jay college cuny,university of wisconsin madison,2
345,4.0,Apparel & Fashion,promotions,3.58,Bachelor,think royln,general assembly,2
322,2.0,Research Services,secretary,10.57,Master,city of port jervis,the graduate center city university of new york,2
234,1.0,Food & Beverages,nanny,7.81,Bachelor,aisling irish community center,binghamton university,2
163,2.0,Computer Software,software engineer,2.41,Master,facebook,columbia university,2
202,2.0,Financial Services,software engineering,5.66,Master,robinhood,cornell university,2
201,5.0,Software Development,consulting engineer,14.77,Master,chubb,coimbatore institute of technology,2
295,2.0,Hospital & Health Care,research scientist,3.83,Master,yale university school of medicine,rajiv gandhi university of health sciences,2
288,2.0,Consumer Goods,secretary,4.91,Master,pt bumi halmahera nusantara,new york university,2
190,3.0,Legal Services,attorney,5.5,Doctor,the children s law center,brooklyn law school,2
200,6.0,Hospitality,architect,9.66,Master,palat restolabs,pratt institute,2
245,1.0,Marketing & Advertising,social media,1.92,Bachelor,ogilvy,new york university,2
325,1.0,Entertainment Providers,realtor,0.58,Bachelor,relable health solutions llc,seton hall university,2
185,3.0,Public Relations and Communications Services,marketing coordinator,6.25,Bachelor,m booth,the university of texas at austin,2
256,3.0,Financial Services,nanny,6.09,Bachelor,morgan stanley,the city university of new york,2
334,3.0,Telecommunications,network support,22.84,empty,apex systems avaya account,simplilearn itil foundation training,2
177,2.0,Mental Health Care,social worker,14.0,Master,mental health association in nj,dartmouth university,2
292,2.0,Performing Arts,actor,12.08,Bachelor,new york city opera,university of colorado boulder,2
271,2.0,Performing Arts,stage,2.5,Bachelor,disneys the lion king,university of the arts,2
356,6.0,Accounting,financial consultant,6.5,Bachelor,j d jeune cpa p c,2005 baruch college,2
196,2.0,Advertising Services,user designer,5.67,Master,booz allen hamilton,university of denver,2
295,2.0,Human Resources,human resources,15.34,Bachelor,transperfect,long island university,2
158,3.0,Higher Education,researcher,8.57,Doctor,microsoft,brown university,2
364,3.0,Medical Practice,nursing,11.92,Master,sullivan street medical,yale university,2
379,2.0,Newspapers,developer,9.16,empty,the new york times,university of miami,2
154,5.0,Information Technology & Services,directors,3.0,Master,ibms,fairleigh dickinson university,2
313,5.0,Higher Education,substitute teacher,16.67,Doctor,new york new jersey trail conference,cornell university,2
158,5.0,Education Administration Programs,education,25.66,Master,district 12,the college of new rochelle,2
189,1.0,Law Enforcement,emergency medical technician,9.25,Bachelor,iaabo,john jay college of criminal justice,2
167,2.0,Higher Education,paralegal,17.24,Bachelor,the city university of new york,dartmouth college,2
336,2.0,Mental Health Care,teaching,21.17,Doctor,columbia university,st john s university,2
204,3.0,Accounting,accounts receivable,16.75,Bachelor,everland,florida atlantic university,2
249,3.0,Chemical Manufacturing,ambassador,12.0,Master,laurentide wealth,tilburg university,2
173,1.0,Marketing & Advertising,marketing project,3.92,Master,cnr group inc,new york university,2
326,2.0,Medical Practice,substitute teacher,4.5,Master,long island jewish medical center,hofstra university,2
267,2.0,Biotechnology Research,research scientist,9.67,Bachelor,orchestra biomed,new jersey institute of technology,2
154,5.0,Apparel & Fashion,brand,14.57,Bachelor,alexander wang llc,parsons school of design the new school,2
164,5.0,Artists and Writers,directors,16.58,Master,the metropolitan museum of art,new york university,2
257,2.0,Hospital & Health Care,physician,14.92,Doctor,north american partners in anesthesia,suny downstate medical center,2
303,1.0,Law Enforcement,agent,26.25,Bachelor,u s secret service,university of toledo,2
237,4.0,Medical Practices,physician,11.25,Bachelor,columbia university irving medical center,mount sinai school of medicine,2
349,6.0,Real Estate,operating officer,15.0,Master,yellowstone real estate investments,massachusetts institute of technology,2
376,1.0,Hospital & Health Care,nurse,13.92,Bachelor,skin aesthetic surgery of manhattan,new york university,2
320,1.0,Hospital & Health Care,medical,8.59,empty,private dermatology practice dr harold mermelstein md,university of mount saint vincent,2
166,5.0,Hospital & Health Care,research scientist,16.25,Master,memorial sloan kettering cancer center,vanderbilt university,2
294,6.0,Investment Management,investment consultant,7.92,Bachelor,hightower advisors,alfred lerner college of business economics at university of delaware,2
156,1.0,Performing Arts,host,8.91,Master,mj the musical,new york university,2
212,2.0,Marketing & Advertising,social media,3.92,Bachelor,gooey on the inside,cria,2
348,6.0,Insurance,underwriting,9.59,Bachelor,coverys,binghamton university,2
299,5.0,Biotechnology Research,professor,15.66,Doctor,rutgers new jersey medical school,johns hopkins bloomberg school of public health,2
246,3.0,Research,teaching,5.83,Master,oxford centre for the creative brain,university of oxford,2
256,3.0,Software Development,research scientist,7.33,Doctor,facebook,vanderbilt university,2
281,1.0,Publishing,video editor,5.75,Bachelor,the new york times,duke university,2
363,2.0,Public Relations and Communications Services,social media,5.41,Bachelor,gatehouse media,seton hall university,2
182,1.0,Hospitality,lifeguard,22.32,Bachelor,westhampton country club,st john s university,2
226,1.0,Education Administration Programs,counselor,8.16,Master,the brearley school,new york university,2
369,2.0,Law Practice,law,35.67,Doctor,executive office for immigration review,brooklyn law school,2
174,1.0,Higher Education,coordinator,2.0,Master,nyu tandon school of engineering,new york university polytechnic school of engineering,2
191,2.0,Law Practice,paralegal,5.58,Master,willkie farr gallagher llp,new york university,2
325,1.0,Biotechnology,scientist i,9.75,Bachelor,merck,texas a m university,2
151,1.0,Hospital & Health Care,event coordinator,9.5,Doctor,american medical student association amsa,american university of antigua college of medicine,2
348,2.0,Accounting,tax preparer,9.08,MBA,ey,providence college,2
218,1.0,Design Services,stylist,5.42,Master,gumuchian,gia gemological institute of america,2
210,1.0,Education Management,substitute teacher,5.5,Bachelor,new utrecht high school,macaulay honors college at the city university of new york,2
315,5.0,Research,teaching,27.24,Doctor,sanders tri institutional therapeutics discovery institute inc,joan sanford i weill medical college of cornell university,2
277,2.0,Advertising Services,photographer,17.66,empty,enchanté accessories,montana state university bozeman,2
234,2.0,Law Enforcement,human,30.16,Bachelor,nyc department of correction,john jay college cuny,2
334,2.0,Wholesale,sales analyst,27.15,empty,e gluck corporation armitron watches,fashion institute of technology,2
176,5.0,Construction,product development,4.92,Bachelor,upbrella,australian university,2
280,5.0,Human Resources,human resources,17.49,Bachelor,ramaz school,queens college,2
345,2.0,Information Technology & Services,researcher,12.91,Doctor,exponent,university of cambridge,2
363,5.0,Computer Software,instructional designer,10.33,Master,benchling,nyu school of global public health,2
259,2.0,Beverage Manufacturing,stylist,11.75,Bachelor,free people,castleton university,2
234,1.0,Motion Pictures & Film,writer,4.08,Bachelor,french film festival richmond virginia,university of richmond,2
280,2.0,Marketing & Advertising,social media,1.75,empty,matte projects,fashion institute of technology,2
356,1.0,Accounting,accounting,9.08,Bachelor,king street capital management,loyola university maryland sellinger school of business and management,2
160,5.0,Hospital & Health Care,project scrum,21.42,Master,epam systems,dtu technical university of denmark,2
345,2.0,Financial Services,spring,2.41,Bachelor,m g investments,university of toronto,2
235,2.0,E-Learning Providers,writer,27.91,Master,university of maryland,defense language institute foreign language center,2
