user_id,numconnections,f_prob,m_prob,white_prob,black_prob,api_prob,hispanic_prob,native_prob,multiple_prob,highest_degree,currentindustry,total_experience_years,company_cleaned,region,country,state,city,mapped_role,seniority,total_compensation,ultimate_parent_company_name,campus_cleaned,field_raw,degree
50399010,203,1,0,0.126000002,0.115999997,0.615999997,0.120999999,0.001,0.02,Bachelor,Computer Software,8.67,sony music entertainment,Northern America,United States,New York,New York City,software programmer,3,193885.5625,Sony Group Corp.,new york university,Computer Science,Bachelor
56419714,500,0.996995866,0.003004134,0.934000015,0.064999998,0,0.001,0,0,Bachelor,Computer Software,19.57,salesforce,Northern America,United States,New York,New York City,social media,4,135848.5625,"Salesforce, Inc.",new york university,,Bachelor
136951372,293,0.005356449,0.994643569,0.001,0,0,0.999000013,0,0,Master,Computer Software,3.16,american express,Northern America,United States,New York,empty,r d engineer,2,153139.1406,American Express Co.,new york university,Computer Science,Master
140902986,500,0.992304683,0.007695317,0.67900002,0,0.035,0.216000006,0,0.07,Master,Computer Software,56.75,fortune,Northern America,United States,New York,New York City,strategist,6,456906.3125,Fortune Magazine,new york university,English education,Master
147049779,500,0.006740507,0.99325949,0.850000024,0.097000003,0.002,0.017999999,0.004,0.028999999,Master,Computer & Network Security,10.5,rimo3,Northern America,United States,empty,empty,engineer,3,123144.0547,"Rimo3, Inc.",new york university,MS Applied Mathematics,Master
310887956,500,0.996194601,0.003805399,0.912999988,0.011,0.013,0.043000001,0.001,0.018999999,Bachelor,Computer Software,13,amazon,Northern America,United States,New York,New York City,merchandising,5,198849.1719,"Amazon.com, Inc.",new york university,Bachelor of Arts (B.A.),Bachelor
337221923,500,0.007204459,0.992795527,0.981000006,0.005,0.004,0.002,0.004,0.004,Doctor,Computer Software,8.99,new york university,Northern America,United States,New York,New York City,research,1,57659.83984,New York University,new york university,Computer Science and Engineering,Doctor
696948375,185,0.003366997,0.996632993,0.977999985,0.002,0.007,0.003,0,0.01,Master,Computer Software,7.5,microsoft,Northern America,United States,New York,New York City,software engineer,2,222336.8281,Microsoft Corp.,new york university,Computer Science,Master
706957232,500,0.003805762,0.996194243,0.039000001,0.009,0.085000001,0.85799998,0.001,0.008,Doctor,Computer and Network Security,14.9,mit lincoln laboratory,Northern America,United States,Massachusetts,Lexington,research technician,1,68700.51563,Massachusetts Institute of Technology,new york university,,empty
985017328,352,0.998833478,0.001166523,0.005,0.004,0.98299998,0.007,0.001,0,Bachelor,Computer Software,4.34,tradeup securities inc,Northern America,United States,New York,New York City,product analyst,2,139474.9688,UP Fintech Holding Ltd.,new york university,Interactive Entertainment,Bachelor
1032390255,464,0.106382981,0.893617034,0,0,0.999000013,0,0,0.001,Master,Computer Software,3.09,de yan,Northern America,United States,New York,empty,designer,1,82393.05469,De-Yan,new york university,Integrated Design & Media,Master
1241390,500,0.004899383,0.995100617,0.992999971,0.001,0.001,0.003,0.001,0.001,Bachelor,Marketing & Advertising,7,razorfish,Northern America,United States,New York,New York City,media relations,5,196593.7031,SBI Holdings Corp.,texas christian university,Strategic Communication,Bachelor
1249886,439,0.004070592,0.99592942,0.980000019,0.017999999,0.001,0.001,0,0,Bachelor,Entertainment Providers,4.75,adolescent,Northern America,United States,New York,New York City,producer,5,412561.9375,Adolescent,parsons school of design the new school,Photography,Bachelor
1284328,384,0.576328754,0.423671246,0.029999999,0.537999988,0.354000002,0.002,0.009,0.067000002,Doctor,Hospital & Health Care,6.75,hospital for special surgery,Northern America,United States,New York,New York City,teaching,4,129657.3203,"The NewYork-Presbyterian Healthcare System, Inc.",banaras hindu university,Biotechnology,Doctor
1490244,217,0.405577749,0.594422281,0.008,0.001,0.980000019,0,0,0.011,Doctor,Computer Software,5.17,meta,Northern America,United States,New York,New York City,research scientist,2,165176.0781,"Meta Platforms, Inc.",iowa state university,Electrical and Electronics Engineering,Doctor
1511359,274,0.998886704,0.001113296,0.987999976,0.01,0.001,0.001,0,0,Doctor,Higher Education,7.49,columbia university,Northern America,United States,New York,New York City,research,1,108993.8906,The Trustees of Columbia University in The City of New York,california polytechnic state university san luis obispo,Mathematics,Bachelor
1610465,500,0.015429845,0.984570146,0.995000005,0.001,0,0,0,0.004,Master,Computer Software,5.59,capital one,Northern America,United States,New York,New York City,software engineering,3,138538.9375,Capital One Financial Corp.,university of wisconsin madison,Computer Science,Master
2060722,279,0.452528417,0.547471583,0.007,0.004,0.745000005,0.195999995,0.001,0.046999998,Doctor,Hospitals and Health Care,16.42,icap at columbia university,Northern America,United States,New York,New York City,statistician,5,334728.4688,The Trustees of Columbia University in The City of New York,columbia university mailman school of public health,Epidemiology,Doctor
2136043,500,0.843397081,0.156602919,0.924000025,0.025,0.001,0.030999999,0,0.018999999,Doctor,Government Administration,28.28,free people,Northern America,United States,South Carolina,Charleston,nanny,2,43266.33984,"Urban Outfitters, Inc.",medical university of south carolina,Physical Therapy/Therapist,Doctor
2281563,373,0,1,0.444000006,0.264999986,0.092,0.136000007,0.021,0.041999999,Doctor,Biotechnology,26.25,tb alliance,Northern America,United States,New York,New York City,research scientist,6,435036.4688,Global Alliance for TB Drug Development,university of houston,Microbiology,Doctor
2311572,500,0.997326732,0.002673268,0.992999971,0,0.001,0.001,0.001,0.004,Doctor,Biotechnology,16.33,bristol myers squibb,Northern America,United States,New Jersey,New Brunswick,scientist,5,237323.7969,Bristol Myers Squibb Co.,ut southwestern medical center,Bioengineering and Biomedical Engineering,Doctor
2706937,500,0.004162394,0.995837629,0.996999979,0.001,0,0,0,0.002,Bachelor,Financial Services,27,kinsale capital advisors,Northern America,United States,New York,New York City,directors,5,375019.5313,,michigan state university,Political Science and Government,Bachelor
2713387,265,0.00388044,0.996119559,0.943000019,0.043000001,0,0.002,0.003,0.009,empty,Gambling Facilities and Casinos,37.51,law offices of hayt hayt landau,Northern America,United States,New York,New York City,systems,4,178703.6875,"LAW OFFICES OF HAYT, HAYT & LANDAU LLC",towson university,Computer Science,empty
