user_id,numconnections,f_prob,m_prob,white_prob,black_prob,api_prob,hispanic_prob,native_prob,multiple_prob,highest_degree,currentindustry,total_experience_years,company_cleaned,region,country,state,city,mapped_role,seniority,total_compensation,ultimate_parent_company_name,campus_cleaned,field_raw,degree
1241390,500,0.004899382591,0.9951006174,0.9929999709,0.001000000047,0.001000000047,0.003000000026,0.001000000047,0.001000000047,Bachelor,Marketing & Advertising,7.0,razorfish,Northern America,United States,New York,New York City,media relations,5.0,196593.703125,SBI Holdings Corp.,texas christian university,Strategic Communication,Bachelor
1249886,439,0.004070592113,0.99592942,0.9800000191,0.01799999923,0.001000000047,0.001000000047,0.0,0.0,Bachelor,Entertainment Providers,4.75,adolescent,Northern America,United States,New York,New York City,producer,5.0,412561.9375,Adolescent,parsons school of design the new school,Photography,Bachelor
1284328,384,0.5763287544,0.4236712456,0.02999999933,0.5379999876,0.3540000021,0.002000000095,0.008999999613,0.06700000167,Doctor,Hospital & Health Care,6.75,hospital for special surgery,Northern America,United States,New York,New York City,teaching,4.0,129657.3203125,"The NewYork-Presbyterian Healthcare System, Inc.",banaras hindu university,Biotechnology,Doctor
1490244,217,0.405577749,0.5944222808,0.00800000038,0.001000000047,0.9800000191,0.0,0.0,0.01099999994,Doctor,Computer Software,5.17,meta,Northern America,United States,New York,New York City,research scientist,2.0,165176.078125,"Meta Platforms, Inc.",iowa state university,Electrical and Electronics Engineering,Doctor
1511359,274,0.9988867044,0.001113295555,0.9879999757,0.009999999776,0.001000000047,0.001000000047,0.0,0.0,Doctor,Higher Education,7.49,columbia university,Northern America,United States,New York,New York City,research,1.0,108993.890625,The Trustees of Columbia University in The City of New York,california polytechnic state university san luis obispo,Mathematics,Bachelor
1610465,500,0.01542984508,0.9845701456,0.9950000048,0.001000000047,0.0,0.0,0.0,0.00400000019,Master,Computer Software,5.59,capital one,Northern America,United States,New York,New York City,software engineering,3.0,138538.9375,Capital One Financial Corp.,university of wisconsin madison,Computer Science,Master
2060722,279,0.4525284171,0.5474715829,0.007000000216,0.00400000019,0.7450000048,0.1959999949,0.001000000047,0.04699999839,Doctor,Hospitals and Health Care,16.42,icap at columbia university,Northern America,United States,New York,New York City,statistician,5.0,334728.46875,The Trustees of Columbia University in The City of New York,columbia university mailman school of public health,Epidemiology,Doctor
2136043,500,0.8433970809,0.1566029191,0.9240000248,0.02500000037,0.001000000047,0.03099999949,0.0,0.01899999939,Doctor,Government Administration,28.28,free people,Northern America,United States,South Carolina,Charleston,nanny,2.0,43266.33984375,"Urban Outfitters, Inc.",medical university of south carolina,Physical Therapy/Therapist,Doctor
2281563,373,0.0,1.0,0.4440000057,0.2649999857,0.09200000018,0.1360000074,0.02099999972,0.04199999943,Doctor,Biotechnology,26.25,tb alliance,Northern America,United States,New York,New York City,research scientist,6.0,435036.46875,Global Alliance for TB Drug Development,university of houston,Microbiology,Doctor
2311572,500,0.9973267317,0.002673268318,0.9929999709,0.0,0.001000000047,0.001000000047,0.001000000047,0.00400000019,Doctor,Biotechnology,16.33,bristol myers squibb,Northern America,United States,New Jersey,New Brunswick,scientist,5.0,237323.796875,Bristol Myers Squibb Co.,ut southwestern medical center,Bioengineering and Biomedical Engineering,Doctor
2706937,500,0.004162393976,0.9958376288,0.996999979,0.001000000047,0.0,0.0,0.0,0.002000000095,Bachelor,Financial Services,27.0,kinsale capital advisors,Northern America,United States,New York,New York City,directors,5.0,375019.53125,,michigan state university,Political Science and Government,Bachelor
2713387,265,0.003880440257,0.9961195588,0.9430000186,0.04300000146,0.0,0.002000000095,0.003000000026,0.008999999613,empty,Gambling Facilities and Casinos,37.51,law offices of hayt hayt landau,Northern America,United States,New York,New York City,systems,4.0,178703.6875,"LAW OFFICES OF HAYT, HAYT & LANDAU LLC",towson university,Computer Science,empty
2989955,240,0.9974759817,0.002524018288,0.9950000048,0.001000000047,0.0,0.001000000047,0.0,0.003000000026,Bachelor,Entertainment,7.83,paramount,Northern America,United States,New York,empty,press,1.0,55116.10546875,Paramount Skydance Corp.,new york university,Film and Television,Bachelor
3158457,500,0.0,1.0,0.00400000019,0.001000000047,0.9840000272,0.001000000047,0.0,0.009999999776,Bachelor,Marketing & Advertising,6.75,inspiren,Northern America,United States,New York,New York City,online,5.0,206250.90625,"All Inspire Health, Inc.",pitzer college,"Triple Major: Psychology, Organizational Studies, and English & World Literature: Creative Writing",Bachelor
3164873,500,0.004510917701,0.9954890609,0.9599999785,0.0270000007,0.001000000047,0.002000000095,0.001000000047,0.008999999613,Master,Design,6.42,rottet studio,Northern America,United States,New York,New York City,design,5.0,439625.9375,Rottet Studio LLC,pratt institute,Interior Architecture,Master
3417282,185,0.9969145656,0.003085434437,0.9800000191,0.001000000047,0.002000000095,0.01400000043,0.0,0.003000000026,Bachelor,Research,3.33,r i analytical laboratories inc,Northern America,United States,New York,New York City,medical technologist,3.0,122496.71875,"RI Analytical Laboratories, Inc.",university of rhode island,Cell/Cellular and Molecular Biology,Bachelor
3485656,500,0.5517446399,0.4482553601,0.05299999937,0.01099999994,0.01700000092,0.9110000134,0.00400000019,0.00400000019,empty,Entertainment,11.66,live nation entertainment,Northern America,United States,New York,New York City,student,3.0,67631.71875,"Live Nation Entertainment, Inc.",the college of new jersey,Interpersonal and Social Skills,empty
3554878,396,0.001841146383,0.9981588721,0.9200000167,0.02400000021,0.01899999939,0.01499999966,0.001000000047,0.02099999972,Doctor,Hospital & Health Care,17.25,albert einstein college of medicine,Northern America,United States,New York,New York City,physician,3.0,133500.578125,Yeshiva University,nyu grossman school of medicine,Medicine,Doctor
3711136,346,0.4296855927,0.5703144073,0.9980000257,0.0,0.002000000095,0.0,0.0,0.0,High School,Education Management,6.67,sony pictures entertainment,Northern America,United States,California,empty,data analyst,1.0,93321.15625,Sony Group Corp.,williams college,Mathematics and Studio Art,empty
3748229,500,0.00380576239,0.9961942434,0.9120000005,0.01999999955,0.00400000019,0.04399999976,0.00400000019,0.01600000076,Bachelor,Musicians,21.25,wpp media,Northern America,United States,New York,New York City,digital media,5.0,396890.53125,WPP Plc,state university of new york maritime college,Electrical and Electronics Engineering,Bachelor
3823736,276,0.004201176111,0.9957988262,0.2419999987,0.2730000019,0.3319999874,0.1230000034,0.004999999888,0.02500000037,Doctor,Hospital & Health Care,14.91,harlem hospital center at columbia university,empty,empty,empty,empty,physician,5.0,80148.3515625,,new york university,Psychoanalysis and Psychotherapy,empty
3941136,500,0.9997882843,0.0002117156982,0.04399999976,0.8600000143,0.01700000092,0.009999999776,0.008999999613,0.05999999866,empty,Advertising Services,14.41,wpp,Northern America,United States,New York,empty,strategic marketing,6.0,362538.375,WPP Plc,trinity college dublin,Business,empty
4072235,500,0.9969911575,0.003008842468,0.9480000138,0.02600000054,0.001000000047,0.02300000004,0.001000000047,0.001000000047,Bachelor,Book and Periodical Publishing,24.17,penguin random house,Northern America,United States,New York,New York City,writer,5.0,138512.875,Verlag Bertelsmann Stiftung,wingate college,ENGLISH LANGUAGE AND LITERATURE/LETTERS,Bachelor
4115408,242,1.0,0.0,0.05000000075,0.9120000005,0.001000000047,0.03700000048,0.0,0.0,Bachelor,Entertainment Providers,9.92,cakeworks,Northern America,United States,New York,New York City,marketing officer,5.0,148162.21875,CakeWorks LLC,providence college,Marketing Major / Writing Minor,Bachelor
4292628,500,0.0,1.0,0.08900000155,0.7910000086,0.01600000076,0.07500000298,0.004999999888,0.02400000021,Doctor,Medical Practice,19.25,new york university college of dentistry,Northern America,United States,New York,New York City,medical,2.0,62962.9765625,New York University,new york university college of dentistry,Dentistry,Doctor
4652698,500,0.536082983,0.463917017,0.8650000095,0.03799999878,0.01600000076,0.01799999923,0.003000000026,0.05999999866,Master,Writing and Editing,11.67,jackie kingon,Northern America,United States,New York,New York City,writer,1.0,98958.03125,,school of visual art,fine art,Bachelor
5019912,187,0.9966885448,0.00331145525,0.01400000043,0.9670000076,0.0,0.002000000095,0.001000000047,0.01600000076,Master,Hospital & Health Care,12.42,loyal source government services,Northern America,United States,New York,New York City,clinical,4.0,162459.546875,Loyal Source Government Services LLC,lehman college,Family Nurse Practitioner,Master
5111931,500,0.7425158024,0.2574841976,0.9810000062,0.00800000038,0.001000000047,0.009999999776,0.0,0.0,Bachelor,Design Services,9.58,parsons school of design the new school,Northern America,United States,New York,New York City,artist,4.0,154265.296875,Parsons The New School for Design,nanyang technological university,Graphic Design,empty
5169071,500,0.004548722878,0.9954512715,0.9499999881,0.03999999911,0.001000000047,0.001000000047,0.002000000095,0.006000000052,Doctor,Law Practice,3.0,kaufmann gildin robbins llp,Northern America,United States,New York,New York City,attorney,6.0,645080.5,Kaufmann Gildin & Robbins LLP,villanova university charles widger school of law,,Doctor
5250400,500,1.0,0.0,0.6899999976,0.001000000047,0.2310000062,0.0549999997,0.001000000047,0.02199999988,empty,Architecture and Planning,5.0,rossana capurso atelier,Northern America,United States,New York,New York City,design consultant,3.0,162129.859375,,sapienza università di roma,,empty
5276045,500,1.0,0.0,0.7580000162,0.007000000216,0.004999999888,0.202000007,0.01400000043,0.01400000043,Bachelor,Photography,14.24,redux pictures,Northern America,United States,New York,empty,photographer,2.0,75912.0,Redux Pictures,hunter college,English as second language and literature,Associate
5337178,500,0.5554565787,0.4445434511,0.3540000021,0.5820000172,0.006000000052,0.01499999966,0.01099999994,0.03200000152,Master,Entertainment,12.23,nbcuniversal,Northern America,United States,New York,empty,social media,2.0,76681.8515625,Comcast Corp.,william paterson university of new jersey,Master of Arts in Strategic Communication,Master
5581352,500,0.003853274509,0.9961467385,0.9279999733,0.003000000026,0.003000000026,0.004999999888,0.001000000047,0.05999999866,Bachelor,Events Services,16.41,navan,Northern America,United States,New York,New York City,account sales,5.0,179033.21875,"Navan, Inc.",university of wisconsin madison,Political Science,Bachelor
5609527,431,0.007014013827,0.9929859638,0.2039999962,0.7570000291,0.003000000026,0.003000000026,0.002000000095,0.03099999949,empty,,,jewelry com,Northern America,United States,New York,New York City,business sales,1.0,113002.890625,"Miadora, Inc.",,,
5637603,194,0.9971182346,0.002881765366,0.6079999804,0.1700000018,0.004999999888,0.0390000008,0.01999999955,0.1580000073,empty,,25.0,apple computer,Northern America,United States,New York,New York City,unemployed,2.0,90615.203125,"Apple, Inc.",rider university,,empty
5646846,337,0.9950469732,0.004953026772,0.1379999965,0.1199999973,0.3770000041,0.3650000095,0.0,0.0,Master,Architecture & Planning,8.0,gluck formerly peter gluck and partners architects and locus construction,Northern America,United States,New York,New York City,architect,6.0,403180.3125,"Japan Post Holdings Co., Ltd.",yale university,,Master
5935042,317,0.00437369803,0.9956263304,0.9369999766,0.02899999917,0.004999999888,0.003000000026,0.006000000052,0.01999999955,Doctor,Research,45.0,memorial sloan kettering cancer center,Northern America,United States,New York,New York City,professor,5.0,247406.015625,Memorial Sloan Kettering Cancer Center,the johns hopkins university school of medicine,Doctor of Medicine (M.D.),Doctor
6479455,170,0.9977645278,0.002235472202,0.7900000215,0.1089999974,0.01899999939,0.07699999958,0.001000000047,0.00400000019,Doctor,Law Practice,28.0,the law office of deborah a ezbitski,Northern America,United States,New York,Harrison,law,6.0,205671.953125,,elisabeth haub school of law at pace university,New Directions: Practical Skills for Returning to Law Practice,empty
6533538,500,0.004510917701,0.9954890609,0.92900002,0.0549999997,0.001000000047,0.002000000095,0.00400000019,0.008999999613,Bachelor,Public Relations & Communications,12.41,arena,Northern America,United States,New York,New York City,public affairs,5.0,249683.390625,Arena (93969616),american university,Campaign Management Institute,empty
